NAMESPACE,NAME,VS,PF,READY,STATUS,RESTARTS,LAST RESTART,CPU,MEM,CPU/R:L,MEM/R:L,%CPU/R,%CPU/L,%MEM/R,%MEM/L,IP,NODE,SERVICEACCOUNT,NOMINATED NODE,READINESS GATES,QOS,LABELS,VALID,AGE
kube-system,efs-csi-node-jhgbl,0,●,3/3,Running,0,<unknown>,3,38,0:0,0:0,n/a,n/a,n/a,n/a,10.218.60.198,ip-10-218-60-198.ec2.internal,efs-csi-node-sa,<none>,<none>,BE,app=efs-csi-node app.kubernetes.io/instance=aws-efs-csi-driver app.kubernetes.io/name=aws-efs-csi-driver controller-revision-hash=86547f8f95 pod-template-generation=1,,21m
kube-system,aws-node-qhv6r,0,●,2/2,Running,0,<unknown>,4,63,50:0,0:0,8,n/a,n/a,n/a,10.218.53.71,ip-10-218-53-71.ec2.internal,aws-node,<none>,<none>,BU,app.kubernetes.io/instance=aws-vpc-cni app.kubernetes.io/name=aws-node controller-revision-hash=75c9c677b8 k8s-app=aws-node pod-template-generation=3,,21m
cattle-logging-system,loki-write-1,0,●,1/1,Running,0,<unknown>,7,96,0:0,2500:2500,n/a,n/a,3,3,10.218.80.92,ip-10-218-82-133.ec2.internal,loki,<none>,<none>,BU,app.kubernetes.io/component=write app.kubernetes.io/instance=loki app.kubernetes.io/name=loki app.kubernetes.io/part-of=memberlist apps.kubernetes.io/pod-index=1 controller-revision-hash=loki-write-c4ff84c4d statefulset.kubernetes.io/pod-name=loki-write-1,,18m
cattle-logging-system,loki-logs-g667n,0,●,2/2,Running,0,<unknown>,3,31,0:0,0:0,n/a,n/a,n/a,n/a,10.218.84.47,ip-10-218-82-133.ec2.internal,loki-grafana-agent,<none>,<none>,BE,app.kubernetes.io/instance=loki app.kubernetes.io/managed-by=grafana-agent-operator app.kubernetes.io/name=grafana-agent app.kubernetes.io/version=v0-34-1 controller-revision-hash=79dcd75c5d grafana-agent=loki operator.agent.grafana.com/name=loki operator.agent.grafana.com/type=logs pod-template-generation=1,,6m15s
kube-system,ebs-csi-controller-545cdffdbb-4hck5,0,●,6/6,Running,0,<unknown>,4,58,60:0,240:1536,6,n/a,24,3,10.218.34.182,ip-10-218-60-198.ec2.internal,ebs-csi-controller-sa,<none>,<none>,BU,app=ebs-csi-controller app.kubernetes.io/component=csi-driver app.kubernetes.io/instance=aws-ebs-csi-driver app.kubernetes.io/managed-by=Helm app.kubernetes.io/name=aws-ebs-csi-driver app.kubernetes.io/version=1.26.1 helm.sh/chart=aws-ebs-csi-driver-2.26.1 pod-template-hash=545cdffdbb,,18m
elisity-monitoring,datadog-operator-58d7bf8845-jqx28,0,●,1/1,Running,0,<unknown>,2,21,0:0,0:0,n/a,n/a,n/a,n/a,10.218.45.4,ip-10-218-58-27.ec2.internal,datadog-operator,<none>,<none>,BE,app.kubernetes.io/instance=datadog-operator app.kubernetes.io/name=datadog-operator pod-template-hash=58d7bf8845,,18m
kube-system,efs-csi-controller-5bbb748b69-ddqsh,0,●,3/3,Running,0,<unknown>,2,40,0:0,0:0,n/a,n/a,n/a,n/a,10.218.50.167,ip-10-218-38-218.ec2.internal,efs-csi-controller-sa,<none>,<none>,BE,app=efs-csi-controller app.kubernetes.io/instance=aws-efs-csi-driver app.kubernetes.io/name=aws-efs-csi-driver pod-template-hash=5bbb748b69,,18m
cattle-monitoring-system,rancher-monitoring-prometheus-node-exporter-9x9t7,0,●,1/1,Running,0,<unknown>,1,10,100:600,60:300,1,0,17,3,10.218.58.27,ip-10-218-58-27.ec2.internal,rancher-monitoring-prometheus-node-exporter,<none>,<none>,BU,app.kubernetes.io/component=metrics app.kubernetes.io/instance=rancher-monitoring app.kubernetes.io/managed-by=Helm app.kubernetes.io/name=prometheus-node-exporter app.kubernetes.io/part-of=prometheus-node-exporter app.kubernetes.io/version=1.3.1 controller-revision-hash=77b779bd8f helm.sh/chart=prometheus-node-exporter-4.2.0 jobLabel=node-exporter pod-template-generation=1 release=rancher-monitoring,,6m17s
kube-system,coredns-6fc6d8679f-4c8j4,0,●,1/1,Running,0,<unknown>,7,19,100:0,70:170,7,n/a,27,11,10.218.38.160,ip-10-218-38-218.ec2.internal,coredns,<none>,<none>,BU,eks.amazonaws.com/component=coredns k8s-app=kube-dns pod-template-hash=6fc6d8679f,,18m
cattle-system,cattle-cluster-agent-57c4c6b7f9-fr4xs,0,●,1/1,Running,0,<unknown>,59,644,0:0,0:0,n/a,n/a,n/a,n/a,10.218.58.94,ip-10-218-58-27.ec2.internal,cattle,<none>,<none>,BE,app=cattle-cluster-agent pod-template-hash=57c4c6b7f9,,18m
